Title,Year,Released,Genre,Runtime,Director,Writer,Actors,Rated,IMDB Rating,Metascore,IMDB Votes,Awards,Box Office,Country,Language,Description,Poster URL
San Andreas,2015.0,29 May 2015,"Action, Adventure, Thriller",114 min,Brad Peyton,"Carlton Cuse, Andre Fabrizio, Jeremy Passmore","Dwayne Johnson, Carla Gugino, Alexandra Daddario",PG-13,6.1,43.0,"265,819",2 wins & 10 nominations total,"$155,190,832",United States,English,"In San Andreas, California is experiencing a statewide earthquake that goes on record as easily the biggest earthquake in history. Dwayne Johnson plays Ray Gaines, a helicopter rescue pilot for the Los Angeles Fire Department, who is trying to find his daughter, Blake (Alexandra Daddario), who is in San Francisco amid-st the chaos. Ray's estranged wife, Emma, is forced to turn to Ray for help, as he is her last resort. Together they journey to save their daughter.",https://m.media-amazon.com/images/M/MV5BYmQzNDEzMzMtM2U5OS00YTUzLWI2NDYtYjI2NjAyNWE5YzMzXkEyXkFqcGc@._V1_SX300.jpg
Home,2015.0,27 Mar 2015,"Animation, Adventure, Comedy",94 min,Tim Johnson,"Tom J. Astle, Matt Ember, Adam Rex","Jim Parsons, Rihanna, Steve Martin",PG,6.5,55.0,"115,702",3 wins & 10 nominations total,"$177,397,510","United States, India","English, French","When Oh, a loveable misfit from another planet, lands on Earth and finds himself on the run from his own people, he forms an unlikely friendship with an adventurous girl named Tip who is on a quest of her own. Through a series of comic adventures with Tip, Oh comes to understand that being different and making mistakes is all part of being human. And while he changes her planet and she changes his world, they discover the true meaning of the word HOME.",https://m.media-amazon.com/images/M/MV5BMjExOTQ4MDMyMV5BMl5BanBnXkFtZTgwMTE3NDM2MzE@._V1_SX300.jpg
Burnt,2015.0,30 Oct 2015,"Comedy, Drama",101 min,John Wells,"Steven Knight, Michael Kalesniko","Bradley Cooper, Sienna Miller, Daniel Brühl",R,6.6,42.0,"136,880",6 wins & 1 nomination total,"$13,651,946","United States, United Kingdom","English, French, Italian","Chef Adam Jones (Bradley Cooper) had it all - and lost it. A two-star Michelin rockstar with the bad habits to match, the former enfant terrible of the Paris restaurant scene did everything different every time out, and only ever cared about the thrill of creating explosions of taste. To land his own kitchen and that third elusive Michelin star though, he'll need the best of the best on his side, including the beautiful Helene (Sienna Miller).",https://m.media-amazon.com/images/M/MV5BNjEzNTk2OTEwNF5BMl5BanBnXkFtZTgwNzExMTg0NjE@._V1_SX300.jpg
Terminator Genisys,2015.0,01 Jul 2015,"Action, Adventure, Sci-Fi",126 min,Alan Taylor,"Laeta Kalogridis, Patrick Lussier, James Cameron","Arnold Schwarzenegger, Jason Clarke, Emilia Clarke",PG-13,6.3,38.0,"297,967",9 nominations total,"$89,760,956","United States, Canada","English, Ukrainian","When John Connor, leader of the human resistance, sends Sgt. Kyle Reese back to 1984 to protect Sarah Connor and safeguard the future, an unexpected turn of events creates a fractured time-line. Now, Sgt. Reese finds himself in a new and unfamiliar version of the past, where he is faced with unlikely allies, including the Guardian, dangerous new enemies, and an unexpected new mission: To reset the future.",https://m.media-amazon.com/images/M/MV5BMjM1NTc0NzE4OF5BMl5BanBnXkFtZTgwNDkyNjQ1NTE@._V1_SX300.jpg
Carol,2015.0,15 Jan 2016,"Drama, Romance",118 min,Todd Haynes,"Phyllis Nagy, Patricia Highsmith","Cate Blanchett, Rooney Mara, Sarah Paulson",R,7.2,94.0,"145,186",Nominated for 6 Oscars. 75 wins & 254 nominations total,"$12,711,491","United Kingdom, France, Australia, United States",English,"In an adaptation of Patricia Highsmith's seminal novel The Price of Salt, CAROL follows two women from very different backgrounds who find themselves in an unexpected love affair in 1950s New York. As conventional norms of the time challenge their undeniable attraction, an honest story emerges to reveal the resilience of the heart in the face of change. A young woman in her 20s, Therese Belivet (Rooney Mara), is a clerk working in a Manhattan department store and dreaming of a more fulfilling life when she meets Carol (Cate Blanchett), an alluring woman trapped in a loveless, convenient marriage. As an immediate connection sparks between them, the innocence of their first encounter dims and their connection deepens. While Carol breaks free from the confines of marriage, her husband (Kyle Chandler) begins to question her competence as a mother as her involvement with Therese and close relationship with her best friend Abby (Sarah Paulson) come to light.",https://m.media-amazon.com/images/M/MV5BMTczNTQ4OTEyNV5BMl5BanBnXkFtZTgwNDgyMDI3NjE@._V1_SX300.jpg
Hotel Transylvania 2,2015.0,25 Sep 2015,"Animation, Adventure, Comedy",89 min,Genndy Tartakovsky,"Robert Smigel, Adam Sandler, Todd Durham","Adam Sandler, Andy Samberg, Selena Gomez",PG,6.6,44.0,"151,482",3 wins & 11 nominations total,"$169,700,110","United States, Canada",English,"The Drac pack is back for an all-new monster comedy adventure in Sony Pictures Animation's Hotel Transylvania 2! Everything seems to be changing for the better at Hotel Transylvania... Dracula's rigid monster-only hotel policy has finally relaxed, opening up its doors to human guests. But behind closed coffins, Drac is worried that his adorable half-human, half-vampire grandson, Dennis, isn't showing signs of being a vampire. So while Mavis is busy visiting her human in-laws with Johnny - and in for a major cultural shock of her own - ""Vampa"" Drac enlists his friends Frank, Murray, Wayne and Griffin to put Dennis through a ""monster-in-training"" boot camp. But little do they know that Drac's grumpy and very old, old, old school dad Vlad is about to pay a family visit to the hotel. And when Vlad finds out that his great-grandson is not a pure blood - and humans are now welcome at Hotel Transylvania - things are going to get batty!",https://m.media-amazon.com/images/M/MV5BY2ExYWJhMDYtYjcwMy00YjA2LTk2YzQtY2FhMWYxZThiNDQzXkEyXkFqcGc@._V1_SX300.jpg
Ted 2,2015.0,26 Jun 2015,Comedy,115 min,Seth MacFarlane,"Seth MacFarlane, Alec Sulkin, Wellesley Wild","Mark Wahlberg, Seth MacFarlane, Amanda Seyfried",R,6.3,48.0,"241,766",3 wins & 4 nominations total,"$81,476,385",United States,"English, Ukrainian","Months after John's divorce, Ted and Tami-Lynn's marriage seems to be on the same road. To patch things up, Ted and Tami-Lynn plan to have a child with John's help, but their failed efforts backfire disastrously. Namely, Ted is declared property by the government, and he loses all of his civil rights. Now, Ted must fight a seemingly hopeless legal battle with an inexperienced young lawyer to regain his rightful legal status. Unfortunately, between Ted's drunken idiocies and sinister forces interested in this situation to exploit him, Ted's quest has all the odds against him.",https://m.media-amazon.com/images/M/MV5BMjEwMDg3MDk1NF5BMl5BanBnXkFtZTgwNjYyODA1NTE@._V1_SX300.jpg
The Angry Birds Movie,2016.0,20 May 2016,"Animation, Action, Adventure",97 min,"Clay Kaytis, Fergal Reilly","Jon Vitti, Mikael Hed, Mikko Pöllä","Jason Sudeikis, Josh Gad, Danny McBride",PG,6.3,43.0,"109,046",3 wins & 8 nominations total,"$107,509,366","Finland, United States, Canada",English,"In the 3D animated comedy, The Angry Birds Movie, we'll finally find out why the birds are so angry. The movie takes us to an island populated entirely by happy, flightless birds - or almost entirely. In this paradise, Red (Jason Sudeikis, We're the Millers, Horrible Bosses), a bird with a temper problem, speedy Chuck (Josh Gad in his first animated role since Frozen), and the volatile Bomb (Danny McBride, This is the End, Eastbound and Down) have always been outsiders. But when the island is visited by mysterious green piggies, it's up to these unlikely outcasts to figure out what the pigs are up to. Featuring a hilarious, all-star voice cast that includes Bill Hader (Trainwreck, Inside Out), Maya Rudolph (Bridesmaids, Sisters), and Peter Dinklage ( Game of Thrones (2011) ), as well as Kate McKinnon (Saturday Night Live, Ghostbusters), Keegan-Michael Key (Key and Peele), Tony Hale (Veep, Arrested Development), Tituss Burgess (Unbreakable Kimmy Schmidt), Ike Barinholtz (Neighbors, Sisters), Hannibal Buress (Daddy's Home, Broad City), Jillian Bell (22 Jump Street), Danielle Brooks (Orange is the New Black), Latin music sensation Romeo Santos, YouTube stars Smosh (Ian Hecox and Anthony Padilla), and country music superstar Blake Shelton, who writes and preforms the original song ""Friends,"" the Columbia Pictures/Rovio Entertainment film is directed by Fergal Reilly and Clay Kaytis and produced by John Cohen and Catherine Winder. The screenplay is by Jon Vitti, and the film is executive produced by Mikael Hed and David Maisel.",https://m.media-amazon.com/images/M/MV5BMTY3MjU0NDA0OF5BMl5BanBnXkFtZTgwNTc0MTU3OTE@._V1_SX300.jpg
Ice Age: Collision Course,2016.0,22 Jul 2016,"Animation, Adventure, Comedy",94 min,"Michael Thurmeier, Galen T. Chu","Michael J. Wilson, Michael Berg, Yoni Brenner","Ray Romano, Denis Leary, John Leguizamo",PG,5.7,34.0,"78,470",2 wins,"$64,063,008","United States, United Kingdom",English,"Scrat's epic pursuit of his elusive acorn catapults him outside of Earth, where he accidentally sets off a series of cosmic events that transform and threaten the planet. To save themselves from peril, Manny, Sid, Diego, and the rest of the herd leave their home and embark on a quest full of thrills and spills, highs and lows, laughter and adventure while traveling to exotic new lands and encountering a host of colorful new characters.",https://m.media-amazon.com/images/M/MV5BMTUwMTk2ODc1OV5BMl5BanBnXkFtZTgwMzU4MzgzOTE@._V1_SX300.jpg
Kung Fu Panda 3,2016.0,29 Jan 2016,"Animation, Action, Adventure",95 min,"Alessandro Carloni, Jennifer Yuh Nelson","Jonathan Aibel, Glenn Berger, Ethan Reiff","Jack Black, Bryan Cranston, Dustin Hoffman",PG,7.1,66.0,"199,373",1 win & 10 nominations total,"$143,528,619","United States, China",English,"When Po's long-lost panda father suddenly reappears, the reunited duo travels to a secret panda paradise to meet scores of hilarious new panda characters. But when the supernatural villain Kai begins to sweep across China defeating all the kung fu masters, Po must do the impossible-learn to train a village full of his fun-loving, clumsy brethren to become the ultimate band of Kung Fu Pandas.",https://m.media-amazon.com/images/M/MV5BMTUyNzgxNjg2M15BMl5BanBnXkFtZTgwMTY1NDI1NjE@._V1_SX300.jpg
Inferno,2016.0,28 Oct 2016,"Action, Adventure, Crime",121 min,Ron Howard,"Dan Brown, David Koepp","Tom Hanks, Felicity Jones, Irrfan Khan",PG-13,6.2,42.0,"193,663",5 wins & 1 nomination total,"$34,343,574","United States, Hungary","English, French, Italian, Turkish","A famous symbologist on a trail of clues tied to the great Dante himself. When Langdon wakes up in an Italian hospital with amnesia, he teams up with Sienna Brooks, a doctor he hopes will help him recover his memories. Together, they race across Europe and against the clock to stop a madman from unleashing a global virus that would wipe out half of the world's population.",https://m.media-amazon.com/images/M/MV5BMTUzNTE2NTkzMV5BMl5BanBnXkFtZTgwMDAzOTUyMDI@._V1_SX300.jpg
Mechanic: Resurrection,2016.0,26 Aug 2016,"Action, Adventure, Thriller",98 min,Dennis Gansel,"Lewis John Carlino, Philip Shelby, Tony Mosher","Jason Statham, Jessica Alba, Tommy Lee Jones",R,5.7,38.0,"96,852",1 nomination total,"$21,218,403","United States, France, Bulgaria, Germany","English, Portuguese, Thai, Bulgarian","Arthur Bishop, the master assassin who faked his death in hopes of putting that part of his ;life behind him, now lives a quiet life in Rio. But someone who knows who he is shows up and tells him, that if he wants to continue living this life, he will do three jobs for someone. Bishop tries to tell them he has the wrong man but they know who he is and if he won't do the job, they will take him but he gets away. He then goes to a resort in Thailand run by a friend, Mae, where he tries to find out who is looking for him. Later a woman named Gina shows up looking for medical assistance and Mae can't help but notice bruises all over her body. Mae deduces she's a battered woman and when Mae hears her being beaten, Mae asks Bishop to help her. He goes and kills the guy she's with. He kills the man and then sets fire to the boat he's on. But he sees that Gina has a photo of him. He deduces that they one who wants him, sent her. He confronts her and she admits that she works at a children's shelter in Cambodia and that someone told her if she didn't do what he said, the children would be endanger. While waiting for the man to come, they get close. And when the man's people comes, they grab them. Bishop is brought to the man who wants him to do the jobs and he tells Bishop that if he doesn't do it, Gina will be killed. So Bishop has no choice but to do it.",https://m.media-amazon.com/images/M/MV5BMjYwODExNzUwMV5BMl5BanBnXkFtZTgwNTgwNjUyOTE@._V1_SX300.jpg
The Choice,2016.0,05 Feb 2016,"Drama, Romance",111 min,Ross Katz,"Bryan Sipe, Nicholas Sparks","Benjamin Walker, Teresa Palmer, Alexandra Daddario",PG-13,6.5,26.0,"47,342",3 nominations total,"$18,730,891",United States,English,"In a small coastal town, the veterinarian Travis Shaw works with his father Shep and is very close to his beloved sister Steph. Travis is very successful with the women and dates Monica every now and then. When the resident Gabby Holland moves to the next door house, she initially believes he is a pretentious man. But when her boyfriend Ryan MacCarthy, who is fellow doctor in the same hospital where she works, needs to travel to another city, Gabby and Travis have a relationship and fall in love with each other. Out of the blue, Ryan returns and proposes to marry her. Now Gabby has to make a choice between her two loves.",https://m.media-amazon.com/images/M/MV5BMTYzMDA2ODcxMV5BMl5BanBnXkFtZTgwODMzOTMzNzE@._V1_SX300.jpg
Central Intelligence,2016.0,17 Jun 2016,"Action, Comedy, Crime",107 min,Rawson Marshall Thurber,"Ike Barinholtz, David Stassen, Rawson Marshall Thurber","Dwayne Johnson, Kevin Hart, Danielle Nicolet",PG-13,6.3,52.0,"222,795",2 wins & 8 nominations total,"$127,440,871","United States, China",English,"Calvin Joyner was voted in high school the guy most likely to succeed. 20 years later he's an accountant. As his high school reunion approaches, he tries to make contact with his old schoolmates. And someone named Bob Stone contacts him. He says that he was known as Robbie Weirdicht in school. Calvin remembers that he was picked on, as a matter of fact after an extremely nasty prank he left school. They agree to meet and Calvin is surprised by how much he has changed. Bob asks Calvin to help him out. He says yes and the next thing he knows some men burst into his home. They're CIA, the one in charge is looking for Stone, she says he's a rogue agent. When they can't find Bob they leave. Later he approaches Calvin telling him, he is not a rogue agent, he's trying to find a person known as the Black Badger who is planning to sell some information that in the wrong hands can be disastrous. so he needs Calvin's help to stop him. Calvin's not sure whom he should believe.",https://m.media-amazon.com/images/M/MV5BMjA2NzEzNjIwNl5BMl5BanBnXkFtZTgwNzgwMTEzNzE@._V1_SX300.jpg
Moonlight,2016.0,18 Nov 2016,Drama,111 min,Barry Jenkins,"Barry Jenkins, Tarell Alvin McCraney","Mahershala Ali, Naomie Harris, Trevante Rhodes",R,7.4,99.0,"338,962",Won 3 Oscars. 235 wins & 310 nominations total,"$27,854,932",United States,English,"Three time periods - young adolescence, mid-teen and young adult - in the life of black-American Chiron is presented. When a child, Chiron lives with his single, crack addict mother Paula in a crime ridden neighborhood in Miami. Chiron is a shy, withdrawn child largely due to his small size and being neglected by his mother, who is more concerned about getting her fixes and satisfying her carnal needs than taking care of him. Because of these issues, Chiron is bullied, the slurs hurled at him which he doesn't understand beyond knowing that they are meant to be hurtful. Besides his same aged Cuban-American friend Kevin, Chiron is given what little guidance he has in life from a neighborhood drug dealer named Juan, who can see that he is neglected, and Juan's caring girlfriend Teresa, whose home acts as a sanctuary away from the bullies and away from Paula's abuse. With this childhood as a foundation, Chiron may have a predetermined path in life, one that will only be magnified in terms of its problems when he reaches his difficult teen years when peer pressure affects what he and many of his peers do, unless he follows Juan's advice of truly making his own decisions for himself.",https://m.media-amazon.com/images/M/MV5BNzQxNTIyODAxMV5BMl5BanBnXkFtZTgwNzQyMDA3OTE@._V1_SX300.jpg
Bad Moms,2016.0,29 Jul 2016,Comedy,100 min,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore","Mila Kunis, Kathryn Hahn, Kristen Bell",R,6.2,60.0,"137,538",3 wins & 5 nominations total,"$113,257,297","United States, China",English,"Amy has a seemingly perfect life - a great marriage, over-achieving kids, a beautiful home and a career. However, she's overworked, over-committed and exhausted to the point that she's about to snap. Fed up, she joins forces with two other over-stressed moms on a quest to liberate themselves from conventional responsibilities - going on a wild, un-mom-like binge of long overdue freedom, fun and self-indulgence - putting them on a collision course with PTA Queen Bee Gwendolyn and her clique of devoted perfect moms.",https://m.media-amazon.com/images/M/MV5BMjIwNzE5MTgwNl5BMl5BanBnXkFtZTgwNjM4OTA0OTE@._V1_SX300.jpg
London Has Fallen,2016.0,04 Mar 2016,"Action, Thriller",99 min,Babak Najafi,"Creighton Rothenberger, Katrin Benedikt, Christian Gudegast","Gerard Butler, Aaron Eckhart, Morgan Freeman",R,5.9,28.0,"174,913",1 win & 3 nominations total,"$62,524,260","United States, United Kingdom, Bulgaria","English, Italian, French, Japanese","After the British Prime Minister has passed away under mysterious circumstances, all leaders of the Western world must attend his funeral. But what starts out as the most protected event on earth, turns into a deadly plot to kill the world's most powerful leaders and unleash a terrifying vision of the future. The President of the United States, his formidable secret service head and a British MI-6 agent who trusts no one are the only people that have any hope of stopping it.",https://m.media-amazon.com/images/M/MV5BMTY1ODY2MTgwM15BMl5BanBnXkFtZTgwOTY3Nzc3NzE@._V1_SX300.jpg
The Other Side of the Door,2016.0,04 Mar 2016,"Horror, Thriller",96 min,Johannes Roberts,"Johannes Roberts, Ernest Riera","Sarah Wayne Callies, Jeremy Sisto, Sofia Rosinsky",R,5.3,41.0,"19,696",2 wins & 3 nominations,"$3,000,342","United Kingdom, India, United States","English, Hindi, Sanskrit","A family lives an idyllic existence abroad until a tragic accident takes the life of their young son. The inconsolable mother learns of an ancient ritual that will bring him back to say a final goodbye. She travels to an ancient temple, where a door serves as a mysterious portal between two worlds. But when she disobeys a sacred warning to never open that door, she upsets the balance between life and death.",https://m.media-amazon.com/images/M/MV5BMjE2MTk4NzkzOF5BMl5BanBnXkFtZTgwNjk3OTAyODE@._V1_SX300.jpg
American Honey,2016.0,14 Oct 2016,"Adventure, Drama, Romance",163 min,Andrea Arnold,"Andrea Arnold, Ian Urbina","Sasha Lane, Shia LaBeouf, Riley Keough",R,7.0,80.0,"47,765",Nominated for 1 BAFTA Award13 wins & 43 nominations total,"$663,246","United Kingdom, United States",English,"Star, a teenage girl with nothing to lose, joins a traveling magazine sales crew, and gets caught up in a whirlwind of hard partying, law bending and young love as she criss-crosses the Midwest with a band of misfits.",https://m.media-amazon.com/images/M/MV5BMTk1MDQxNDQzMV5BMl5BanBnXkFtZTgwNDY1MDQ3OTE@._V1_SX300.jpg
The Edge of Seventeen,2016.0,18 Nov 2016,"Comedy, Drama",104 min,Kelly Fremon Craig,Kelly Fremon Craig,"Hailee Steinfeld, Haley Lu Richardson, Blake Jenner",R,7.3,77.0,"144,580",8 wins & 29 nominations total,"$14,431,633","United States, China",English,"Everyone knows that growing up is hard, and life is no easier for high school junior Nadine (Hailee Steinfeld), who is already at peak awkwardness when her all-star older brother Darian (Blake Jenner) starts dating her best friend Krista (Haley Lu Richardson). All at once, Nadine feels more alone than ever, until the unexpected friendship of a thoughtful boy (Hayden Szeto) gives her a glimmer of hope that things just might not be so terrible after all.",https://m.media-amazon.com/images/M/MV5BODE2NjE4NjYyMV5BMl5BanBnXkFtZTgwNzk3MjQ0OTE@._V1_SX300.jpg
The Void,2016.0,07 Apr 2017,"Horror, Mystery, Sci-Fi",90 min,"Jeremy Gillespie, Steven Kostanski","Jeremy Gillespie, Steven Kostanski","Aaron Poole, Kenneth Welsh, Ellen Wong",Not Rated,5.9,62.0,"43,872",3 wins & 2 nominations total,"$151,042","Canada, United States",English,"When Sheriff Deputy Carter (Aaron Poole) discovers a blood-soaked man limping down a deserted road, he rushes him to a local hospital with a barebones, night shift staff. As cloaked, cult-like figures surround the building, the patients and staff inside start to turn ravenously insane. Trying to protect the survivors, Carter leads them into the depths of the hospital where they discover a gateway to immense evil.",https://m.media-amazon.com/images/M/MV5BMDMwYTU4YjItYjI1Yy00NDY2LTlmMDMtNTQ4OTM5MjZiMzBiXkEyXkFqcGc@._V1_SX300.jpg
The Take,2016.0,18 Nov 2016,"Action, Adventure, Crime",92 min,James Watkins,"Andrew Baldwin, James Watkins","Idris Elba, Richard Madden, Charlotte Le Bon",R,6.3,48.0,"52,580",,"$50,269","United Kingdom, France, United States, Belgium, Luxembourg, China, Germany","English, French","Michael Mason, a pickpocket living in Paris, steals a bag with a teddy bear in it. Not realizing the toy contains a timed bomb, he tosses it aside on a busy street. A few seconds later it explodes, killing four people. CCTV footage reveals Mason's face and the French police tag him as a terrorist threat. The explosion, although botched, was set up by a select group of the French Interior Ministry as a decoy so they can make a half billion dollar digital transfer from a bank (closed on French National Day) -- hence the title Bastille Day. In a separate CIA investigation the unruly agent Sean Briar discovers the real story behind Mason's ""terrorist attack"". The two men, on different sides of the law, collaborate to bring the corrupt members of the Ministry down.",https://m.media-amazon.com/images/M/MV5BMTAyNDc3MDMwMDNeQTJeQWpwZ15BbWU4MDkyMzc5MjAy._V1_SX300.jpg
The Magnificent Seven,2016.0,23 Sep 2016,"Action, Adventure, Drama",132 min,Antoine Fuqua,"Akira Kurosawa, Shinobu Hashimoto, Hideo Oguni","Denzel Washington, Chris Pratt, Ethan Hawke",PG-13,6.9,54.0,"234,892",5 wins & 12 nominations total,"$93,432,655","United States, Australia","English, North American Indian, Spanish","Director Antoine Fuqua brings his modern vision to a classic story in The Magnificent Seven. With the town of Rose Creek under the deadly control of industrialist Bartholomew Bogue, the desperate townspeople employ protection from seven outlaws, bounty hunters, gamblers and hired guns. As they prepare the town for the violent showdown that they know is coming, these seven mercenaries find themselves fighting for more than money.",https://m.media-amazon.com/images/M/MV5BMTUzNTc0NTAyM15BMl5BanBnXkFtZTgwMTk1ODA5OTE@._V1_SX300.jpg
Assassin's Creed,2016.0,21 Dec 2016,"Action, Adventure, Sci-Fi",115 min,Justin Kurzel,"Michael Lesslie, Adam Cooper, Bill Collage","Michael Fassbender, Marion Cotillard, Jeremy Irons",PG-13,5.6,36.0,"212,188",2 wins & 2 nominations total,"$54,647,948","United States, France, United Kingdom, Hong Kong, Taiwan, Malta, Spain, Canada","English, Spanish, Arabic","Through a revolutionary technology that unlocks his genetic memories, Callum Lynch (Michael Fassbender) experiences the adventures of his ancestor, Aguilar de Nerha, in 15th Century Spain. Callum discovers he is descended from a mysterious secret society, the Assassins, and amasses incredible knowledge and skills to take on the oppressive and powerful Templar organization in the present day.",https://m.media-amazon.com/images/M/MV5BMTU2Mjc1ODY2OV5BMl5BanBnXkFtZTgwNTMzMTYzMDI@._V1_SX300.jpg
Dirty Grandpa,2016.0,22 Jan 2016,Comedy,102 min,Dan Mazer,John Phillips,"Robert De Niro, Zac Efron, Zoey Deutch",R,5.9,21.0,"136,661",2 wins & 11 nominations total,"$35,593,113","United States, United Kingdom",English,"Jason Kelly, the grandson of Dick Kelly, loses his grandmother about two weeks before his wedding to Meredith. He tries to assist his grandfather and console him for his loss, but was rather tricked into a spring break road trip; chasing youth once again. with the help of Shadia and Lenore, the two men go on an adventure they'll never forget.",https://m.media-amazon.com/images/M/MV5BMzk0NzkyNDk2M15BMl5BanBnXkFtZTgwNDczOTU3NzE@._V1_SX300.jpg
Colossal,2016.0,21 Apr 2017,"Comedy, Drama, Fantasy",109 min,Nacho Vigalondo,Nacho Vigalondo,"Anne Hathaway, Jason Sudeikis, Austin Stowell",R,6.2,70.0,"70,969",3 wins & 9 nominations total,"$3,029,287","United States, Spain, Canada, South Korea","English, Korean","Gloria (Anne Hathaway) is an out-of-work girl who, after getting kicked out of her apartment by her boyfriend, is forced to leave her life in New York and move back to her hometown. When news reports surface that a giant creature is destroying Seoul, South Korea, Gloria gradually comes to the realization that she is somehow connected to this far-off phenomenon. As events begin to spin out of control, Gloria must determine why her seemingly insignificant existence has such a colossal effect on the fate of the world.",https://m.media-amazon.com/images/M/MV5BMTY2NTExOTA2MF5BMl5BanBnXkFtZTgwNTMwMjE2MTI@._V1_SX300.jpg
The Shallows,2016.0,24 Jun 2016,"Drama, Horror, Thriller",86 min,Jaume Collet-Serra,Anthony Jaswinski,"Blake Lively, Óscar Jaenada, Angelo Josue Lozano Corzo",PG-13,6.3,59.0,"147,341",1 win & 15 nominations total,"$55,124,043",United States,"English, Spanish","In the taut thriller The Shallows, when Nancy (Blake Lively) is surfing on a secluded beach, she finds herself on the feeding ground of a great white shark. Though she is stranded only 200 yards from shore, survival proves to be the ultimate test of wills, requiring all of Nancy's ingenuity, resourcefulness, and fortitude.",https://m.media-amazon.com/images/M/MV5BMjA1MTA4MzU4Ml5BMl5BanBnXkFtZTgwNjUxNjczODE@._V1_SX300.jpg
Better Watch Out,2016.0,06 Oct 2017,"Comedy, Horror, Thriller",89 min,Chris Peckover,"Zack Kahn, Chris Peckover","Olivia DeJonge, Levi Miller, Ed Oxenbould",R,6.5,67.0,"49,129",8 wins & 2 nominations total,"$20,369","Australia, United States",English,"When you think the suburbs, you think safety, but this holiday night the suburbs are anything but safe. Ashley (Olivia DeJonge) thought this babysitting job was going to be an easy night, but the night takes a turn when dangerous intruders break in and terrorize her and the twelve-year-old boy, Luke (Levi Miller), she's caring for. Ashley defends her charge to the best of her ability only to discover this is no normal home invasion.",https://m.media-amazon.com/images/M/MV5BNmE4NDY5ZDgtZjFhNC00NGU2LTlhMmItNmE2ZjBiNzE5YjM2XkEyXkFqcGc@._V1_SX300.jpg
Fences,2016.0,25 Dec 2016,Drama,139 min,Denzel Washington,August Wilson,"Denzel Washington, Viola Davis, Stephen McKinley Henderson",PG-13,7.2,79.0,"121,352",Won 1 Oscar. 60 wins & 122 nominations total,"$57,682,904","United States, Canada",English,"Troy Maxson makes his living as a sanitation worker in 1950s Pittsburgh. Maxson once dreamed of becoming a professional baseball player, but was deemed too old when the major leagues began admitting black athletes. Bitter over his missed opportunity, Troy creates further tension in his family when he squashes his son's chance to meet a college football recruiter.",https://m.media-amazon.com/images/M/MV5BOTg0Nzc1NjA0MV5BMl5BanBnXkFtZTgwNTcyNDQ0MDI@._V1_SX300.jpg
Jason Bourne,2016.0,29 Jul 2016,"Action, Thriller",123 min,Paul Greengrass,"Paul Greengrass, Christopher Rouse, Robert Ludlum","Matt Damon, Tommy Lee Jones, Alicia Vikander",PG-13,6.6,58.0,"247,537",3 wins & 20 nominations total,"$162,434,410","United States, China, Spain, Japan, Iceland, Germany, Italy","English, Greek, German, Japanese","Jason Bourne is again being hunted by the CIA. It begins when Nicky Parsons a former CIA operative who helped Bourne, who went under and now works with a man who's a whistle blower and is out to expose the CIA's black ops. Nicky hacks into the CIA and downloads everything on all their Black Ops, including Treadstone which Bourne was a part of. And Heather Lee, a CIA agent, discovers the hack and brings it to the attention of CIA Director Dewey, the man behind the Black Ops. He orders Parsons be found and, hopefully, Bourne, too.",https://m.media-amazon.com/images/M/MV5BMzY3Y2Q3MmUtZmU3MC00OWMxLWIwNDMtNDA4MmViMTUxYjYxXkEyXkFqcGc@._V1_SX300.jpg
Now You See Me 2,2016.0,10 Jun 2016,"Action, Adventure, Comedy",129 min,Jon M. Chu,"Ed Solomon, Peter Chiarelli, Boaz Yakin","Jesse Eisenberg, Mark Ruffalo, Woody Harrelson",PG-13,6.4,46.0,"333,462",5 nominations total,"$65,075,540","United States, Hong Kong","English, Mandarin, Cantonese","One year after outwitting the F.B.I. and winning the public's adulation with their Robin Hood-style magic spectacles, The Four Horsemen resurface for a comeback performance in hopes of exposing the unethical practices of a tech magnate. The man behind their vanishing act is none other than Walter Mabry, a tech prodigy who threatens the Horsemen into pulling off their most impossible heist yet. Their only hope is to perform one last unprecedented stunt to clear their names and reveal the mastermind behind it all.",https://m.media-amazon.com/images/M/MV5BOTVjNTA0ZWEtNzU2Ny00Njg1LWE1MmEtZTUyZGQzYTVlY2Q5XkEyXkFqcGc@._V1_SX300.jpg
How to Be Single,2016.0,12 Feb 2016,"Comedy, Drama, Romance",110 min,Christian Ditter,"Abby Kohn, Marc Silverstein, Dana Fox","Dakota Johnson, Rebel Wilson, Leslie Mann",R,6.1,51.0,"96,256",3 nominations total,"$46,843,513",United States,English,"There's a right way to be single, a wrong way to be single, and then...there's Alice. And Robin. Lucy. Meg. Tom. David. New York City is full of lonely hearts seeking the right match, be it a love connection, a hook-up, or something in the middle. And somewhere between the teasing texts and one-night stands, what these unmarrieds all have in common is the need to learn how to be single in a world filled with ever-evolving definitions of love. Sleeping around in the city that never sleeps was never so much fun.",https://m.media-amazon.com/images/M/MV5BNzI4MDMwMzUwNF5BMl5BanBnXkFtZTgwMDgyNzkyNzE@._V1_SX300.jpg
